Sentence,Action,Room,Object
clean up the tuna near the bedroom,place,bedroom,tuna
clear away the crackers in the sitting room,place,living room,crackers
retrieve an apple around the parlor,get,living room,apple
tidy the crackers from the living room,place,living room,crackers
pick up an apple inside the kitchen,get,kitchen,apple
get me a soda close to the pantry,get,kitchen,soda
grab the crackers from the kitchen,get,kitchen,crackers
could are the thing from the bedroom,question,bedroom,unknown
express every detail banana by the sitting room,describe,living room,banana
clean a vegetables close to the bathroom,place,bathroom,vegetables
clean a soda close to the pantry,place,kitchen,soda
proceed near the apple in the parlor,go,living room,apple
go over to the beverage inside the living room,go,living room,beverage
clear away an object around the my room,place,bedroom,unknown
where are the beverage by the bathroom,question,bathroom,beverage
express everything you see banana,describe,unknown,banana
question you do cookies by the living room,question,living room,cookies
drive over by the water near the kitchen,go,kitchen,water
explain everything you see tuna inside the pantry,describe,kitchen,tuna
express what you see orange inside the pantry,describe,kitchen,orange
navigate over by the apple,go,unknown,apple
explain every detail tuna around the my room,describe,bedroom,tuna
bring some vegetables inside the kitchen,get,kitchen,vegetables
question you do soda from the my room,question,bedroom,soda
drive over by the soda from the kitchen,go,kitchen,soda
report what's there beverage,describe,unknown,beverage
describe everything you see orange by the parlor,describe,living room,orange
fetch me a banana,get,unknown,banana
specify what you see water,describe,unknown,water
bring the banana in the canteen,get,kitchen,banana
clear away a banana close to the my room,place,bedroom,banana
specify everything you see object inside the bath,describe,bathroom,unknown
what are are the chips around the bathroom,question,bathroom,chips
throw out the item around the parlor,place,living room,unknown
navigate over to the my room,go,bedroom,unknown
bring the crackers,get,unknown,crackers
clean the crackers around the bath,place,bathroom,crackers
tell every detail item inside the canteen,describe,kitchen,unknown
head to the tuna,go,unknown,tuna
explain in details item near the pantry,describe,kitchen,unknown
could are the water in the pantry,question,kitchen,water
bring me the thing from the pantry,get,kitchen,unknown
tidy up a water,place,unknown,water
describe in details item near the bathroom,describe,bathroom,unknown
question you do cookies,question,unknown,cookies
could is the apple in the my room,question,bedroom,apple
store an apple near the my room,place,bedroom,apple
could are the cookies close to the bath,question,bathroom,cookies
tell everything you see cookies from the sitting room,describe,living room,cookies
find some crackers close to the bathroom,get,bathroom,crackers
look for a tuna by the bedroom,get,bedroom,tuna
move over to the water around the parlor,go,living room,water
fetch some water around the bedroom,get,bedroom,water
head to the canteen,go,kitchen,unknown
express what's there item inside the bathroom,describe,bathroom,unknown
clear the object in the living room,place,living room,unknown
would you tell apple by the pantry,question,kitchen,apple
what is you tell apple close to the my room,question,bedroom,apple
fetch a tuna,get,unknown,tuna
proceed over to the tuna,go,unknown,tuna
could you tell orange close to the my room,question,bedroom,orange
express in details soda,describe,unknown,soda
describe in details crackers,describe,unknown,crackers
explain every detail soda inside the bath,describe,bathroom,soda
would you tell carrots by the sitting room,question,living room,carrots
navigate to the carrots in the parlor,go,living room,carrots
bring me the beverage,get,unknown,beverage
present in details chips,describe,unknown,chips
report in details orange in the canteen,describe,kitchen,orange
how are the object around the bathroom,question,bathroom,unknown
what are you do soda close to the living room,question,living room,soda
go by the carrots near the pantry,go,kitchen,carrots
how you do orange around the kitchen,question,kitchen,orange
express every detail crackers from the bath,describe,bathroom,crackers
would is the vegetables from the living room,question,living room,vegetables
would you tell vegetables around the bedroom,question,bedroom,vegetables
express every detail banana in the canteen,describe,kitchen,banana
tell in details cookies,describe,unknown,cookies
locate an item near the kitchen,get,kitchen,unknown
could you tell banana,question,unknown,banana
what are is the chips,question,unknown,chips
throw away the apple near the kitchen,place,kitchen,apple
where is the carrots inside the my room,question,bedroom,carrots
tell what you see crackers near the sitting room,describe,living room,crackers
drive towards the chips from the sitting room,go,living room,chips
what are you tell banana close to the living room,question,living room,banana
what are you tell apple by the bathroom,question,bathroom,apple
locate the thing around the my room,get,bedroom,unknown
head over to the my room,go,bedroom,unknown
drive over by the tuna inside the my room,go,bedroom,tuna
present everything you see orange from the my room,describe,bedroom,orange
pick up the orange inside the parlor,get,living room,orange
get a vegetables in the bedroom,get,bedroom,vegetables
proceed to the living room,go,living room,unknown
put away a thing near the my room,place,bedroom,unknown
grab the cookies inside the bedroom,get,bedroom,cookies
drive over to the cookies by the sitting room,go,living room,cookies
how you tell banana around the canteen,question,kitchen,banana
question you do beverage around the bedroom,question,bedroom,beverage
locate a peas inside the bedroom,get,bedroom,peas
answer are the apple in the bathroom,question,bathroom,apple
drive towards the tomato inside the canteen,go,kitchen,tomato
report in details thing near the living room,describe,living room,unknown
tidy up a corn from the living room,place,living room,corn
where you do thing close to the my room,question,bedroom,unknown
what is you do cookies inside the bedroom,question,bedroom,cookies
bring some carrots in the living room,get,living room,carrots
drive to the beverage inside the my room,go,bedroom,beverage
head to the tuna in the bath,go,bathroom,tuna
specify what's there soda inside the sitting room,describe,living room,soda
retrieve an item close to the bedroom,get,bedroom,unknown
question is the water close to the bathroom,question,bathroom,water
present in details beverage in the my room,describe,bedroom,beverage
where are the banana from the canteen,question,kitchen,banana
specify what's there beverage,describe,unknown,beverage
place the soda,place,unknown,soda
find an item inside the living room,get,living room,unknown
